#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
 780000      3.59e-02      1.12e-03      1.94e-03    3.3e-04
 782000      1.86e-01      1.87e-03      1.01e-02    3.3e-04
 784000      4.73e-02      2.02e-04      2.58e-03    3.3e-04
 786000      3.02e-01      4.72e-03      1.64e-02    3.3e-04
 788000      1.30e-02      1.07e-04      7.09e-04    3.3e-04
 790000      4.89e-01      1.07e-03      2.67e-02    3.3e-04
 792000      6.30e-02      6.39e-03      2.58e-03    3.3e-04
 794000      6.26e-01      2.37e-03      3.41e-02    3.3e-04
 796000      4.56e-02      5.68e-03      2.03e-03    3.3e-04
 798000      3.29e-01      3.09e-02      1.62e-02    3.3e-04
 800000      7.29e-02      6.30e-03      3.36e-03    3.2e-04
 802000      1.48e-01      2.25e-02      5.85e-03    3.2e-04
 804000      6.95e-01      2.68e-02      3.84e-02    3.2e-04
 806000      1.79e-01      1.97e-02      8.63e-03    3.2e-04
 808000      3.27e-01      1.04e-02      1.82e-02    3.2e-04
 810000      7.27e-02      1.22e-02      2.52e-03    3.2e-04
 812000      1.07e-01      2.00e-03      5.99e-03    3.2e-04
 814000      1.21e-01      6.67e-03      6.55e-03    3.2e-04
 816000      7.29e-01      1.02e-02      4.08e-02    3.2e-04
 818000      5.16e-01      7.23e-03      2.89e-02    3.2e-04
 820000      1.74e-01      3.27e-02      4.60e-03    3.2e-04
 822000      1.96e-01      2.14e-02      7.60e-03    3.2e-04
 824000      9.31e-02      7.33e-03      4.86e-03    3.2e-04
 826000      7.09e-02      8.26e-03      3.33e-03    3.2e-04
 828000      3.25e-01      4.56e-03      1.82e-02    3.2e-04
 830000      1.39e-01      1.56e-02      5.24e-03    3.2e-04
 832000      3.64e-01      5.19e-02      6.71e-03    3.2e-04
 834000      6.80e-02      6.85e-03      3.37e-03    3.2e-04
 836000      5.72e-01      1.88e-03      3.22e-02    3.2e-04
 838000      4.99e-01      5.66e-03      2.80e-02    3.2e-04
 840000      4.36e-01      6.66e-03      2.50e-02    3.0e-04
 842000      1.30e-01      1.57e-02      6.16e-03    3.0e-04
 844000      1.75e-01      1.40e-02      9.36e-03    3.0e-04
 846000      5.19e-02      5.69e-03      2.03e-03    3.0e-04
 848000      1.41e-01      2.87e-02      2.03e-03    3.0e-04
 850000      4.72e-01      2.97e-03      2.72e-02    3.0e-04
 852000      6.57e-02      4.65e-03      3.34e-03    3.0e-04
 854000      1.52e-01      2.10e-02      6.67e-03    3.0e-04
 856000      9.11e-02      1.41e-02      3.58e-03    3.0e-04
